MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
13.35, 1830000, 16/06/2019 23:22:39, 3.6834087473426025, 20.0, 4.0, 10297.62, 1681.4741852315187, 0.09481250000000001
13.5, 1840000, 16/06/2019 23:52:42, 3.5341194094144583, 20.0, 4.0, 10248.17, 1640.3753598185997, 0.09475
13.47, 1850000, 17/06/2019 00:22:53, 3.5424708890829293, 20.0, 4.0, 10259.8, 1636.4335122454563, 0.09468750000000001
13.41, 1860000, 17/06/2019 00:54:35, 3.5159493739244883, 20.0, 4.0, 10303.94, 1625.8893924249585, 0.094625
13.44, 1870000, 17/06/2019 01:30:36, 3.4331326802207918, 20.0, 4.0, 10299.55, 1600.4038451278477, 0.09456250000000001
13.49, 1880000, 17/06/2019 02:05:52, 3.4043942192407743, 20.0, 4.0, 10291.7, 1596.5253176821218, 0.0945
13.52, 1890000, 17/06/2019 02:40:22, 3.4072863102474966, 20.0, 4.0, 10302.24, 1623.3314271583606, 0.09443750000000001
13.33, 1900000, 17/06/2019 03:22:58, 3.4786635364748912, 20.0, 4.0, 10403.93, 1651.3740718262475, 0.094375
13.37, 1910000, 17/06/2019 04:07:46, 3.428279451853363, 20.0, 4.0, 10422.18, 1630.476589099028, 0.09431250000000001
13.33, 1920000, 17/06/2019 04:39:58, 3.408973452522035, 20.0, 4.0, 10459.65, 1629.769378623859, 0.09425
13.44, 1930000, 17/06/2019 05:09:38, 3.38325287260648, 20.0, 4.0, 10446.17, 1641.560331239763, 0.09418750000000001
13.38, 1940000, 17/06/2019 05:37:40, 3.517897099120439, 20.0, 4.0, 10504.98, 1705.4260522227282, 0.094125
13.5, 1950000, 17/06/2019 06:05:15, 3.5846896657869842, 20.0, 4.0, 10447.92, 1736.8361389607253, 0.09406250000000001
13.68, 1960000, 17/06/2019 06:32:59, 3.7359871520121692, 20.0, 4.0, 10322.34, 1806.3406114019583, 0.094
13.84, 1970000, 17/06/2019 06:58:17, 3.748919844435194, 20.0, 4.0, 10230.76, 1804.280505464713, 0.09393750000000001
13.93, 1980000, 17/06/2019 07:17:39, 3.7742681409777976, 20.0, 4.0, 10181.71, 1817.7461225099617, 0.093875
14.0, 1990000, 17/06/2019 07:37:27, 3.757658845611187, 20.0, 4.0, 10163.21, 1812.3362066404786, 0.09381250000000001
14.12, 2000000, 17/06/2019 08:11:19, 3.723654119275849, 20.0, 4.0, 10086.0, 1793.626454978851, 0.09375
14.54, 2010000, 17/06/2019 08:45:44, 3.5844664874985233, 20.0, 4.0, 9899.16, 1727.7658563590148, 0.0936875
14.92, 2020000, 17/06/2019 09:19:05, 3.3872702874143363, 20.0, 7.0, 9724.82, 1666.5884937800333, 0.093625
